feature,importance
power_diff,0.13616227844999612
offense_diff,0.09689383053319245
home_power,0.06508710756404147
away_power,0.05349216585768416
away_win_pct,0.05226529252069822
home_offense,0.05073895299953984
home_win_pct,0.04728473253127797
home_losses,0.04587419923562159
away_losses,0.043480759901627856
defense_diff,0.03833764130052021
home_defense,0.035383340629093187
away_offense,0.035232072289758096
offense_x_defense,0.03344148255020756
away_defense,0.028912352003256356
power_x_form,0.0261981541342917
away_momentum,0.02315830153718681
home_momentum,0.02224969710352685
form_diff,0.017885259605563402
home_games_played,0.017626820957662864
month,0.01716356883725212
h2h_avg_margin,0.017039833359671245
away_games_played,0.014619288285129295
home_recent_form,0.013233267064436172
streak_diff,0.010514452123727737
h2h_home_win_rate,0.010328657910638316
h2h_games_played,0.009023242714352642
away_recent_form,0.008932412992649852
away_streak,0.008696345575178349
home_streak,0.007985440268497524
same_conference,0.006179313545300031
same_division,0.003465558739320636
day_of_week,0.002562657834957363
home_preseason_games,0.0005515190441420661
away_preseason_games,0.0
